week,ruralpop,ruraldeaths,ruraldeathrate,urbanpop,urbandeaths,urbandeathrate,excessdeathsYN,excessdeath%,ruralicubedsavg,urbanicubedsavg,ruralicuoccupancy,urbanicuoccupancy,ruralinptbeds,urbaninptbeds
6/7/2020,6139339.0,95.0,1.5473978550459584,4987417.0,91.0,1.824591767642449,true,24.3093273952969,,,,,19.697727272727274,145.07297297297296
6/14/2020,6139339.0,76.0,1.2379182840367668,4987417.0,72.0,1.4436330469258938,true,17.0405671549937,,,,,19.790697674418606,147.8095890410959
6/21/2020,6139339.0,51.0,0.8307083221825671,4987417.0,45.0,0.9022706543286837,true,13.8911051507147,,,,,19.790697674418606,146.9205479452055
6/28/2020,6139339.0,43.0,0.7004011343892234,4987417.0,39.0,0.7819679004181923,false,2.14220883045684,,,,,19.651162790697676,147.5054794520548
7/5/2020,6139339.0,34.0,0.5538055481217115,4987417.0,30.0,0.6015137695524557,false,6.50987115252046,,,,,19.46511627906977,148.79861111111111
7/12/2020,6139339.0,43.0,0.7004011343892234,4987417.0,31.0,0.6215642285375376,false,5.410170887076,2.0,11.6,0.625,6.35,19.38372093023256,147.61917808219175
7/19/2020,6139339.0,39.0,0.6352475404925514,4987417.0,31.0,0.6215642285375376,false,5.51086353248179,1.5,17.11111111111111,0.5714285714285714,10.322222222222223,19.153488372093022,149.82222222222222
7/26/2020,6139339.0,42.0,0.6841127359150554,4987417.0,36.0,0.7218165234629469,false,6.52131683854333,1.4857142857142858,13.59433962264151,0.4714285714285714,9.120754716981132,19.127272727272725,136.36164383561646
8/2/2020,6139339.0,54.0,0.8795735176050711,4987417.0,42.0,0.842119277373438,false,0.0,1.3828571428571428,12.901612903225805,0.52,9.058064516129033,19.539534883720933,135.55068493150685
8/9/2020,6139339.0,60.0,0.9773039084500791,4987417.0,52.0,1.0426238672242567,false,6.83139558899012,1.3,12.719354838709679,0.5457142857142857,9.048387096774196,18.727906976744183,136.5205479452055
8/16/2020,6139339.0,71.0,1.156476291665927,4987417.0,57.0,1.142876162149666,false,5.65118791267065,1.1911764705882353,12.65873015873016,0.5147058823529411,9.079365079365079,18.729545454545455,135.5082191780822
8/23/2020,6139339.0,45.0,0.7329779313375593,4987417.0,33.0,0.6616651465077014,true,8.01845403943628,1.1944444444444444,13.26470588235294,0.6916666666666667,9.954411764705881,18.413636363636364,136.56712328767125
8/30/2020,6139339.0,51.0,0.8307083221825671,4987417.0,39.0,0.7819679004181923,true,8.16452387973949,0.9772727272727273,11.994520547945204,0.5681818181818182,8.70958904109589,18.493181818181817,133.52602739726024
9/6/2020,6139339.0,66.0,1.075034299295087,4987417.0,52.0,1.0426238672242567,false,3.49146351593951,0.9772727272727273,12.651388888888889,0.45454545454545453,9.004166666666666,18.513636363636365,132.68630136986303
9/13/2020,6139339.0,45.0,0.7329779313375593,4987417.0,37.0,0.7418669824480286,false,2.43143068871813,0.9772727272727273,12.608333333333333,0.45454545454545453,9.295833333333333,18.518181818181816,131.4808219178082
9/20/2020,6139339.0,82.0,1.3356486748817746,4987417.0,42.0,0.842119277373438,true,9.97734522733265,0.9431818181818182,12.3875,0.45681818181818185,9.24861111111111,18.46590909090909,131.81095890410958
9/27/2020,6139339.0,87.0,1.4170906672526147,4987417.0,61.0,1.2230779980899933,true,10.237103067882,1.0340909090909092,12.572602739726028,0.475,9.415068493150686,18.495454545454546,132.42465753424656
10/4/2020,6139339.0,110.0,1.7917238321584783,4987417.0,72.0,1.4436330469258938,false,0.487200006162657,1.0681818181818181,12.526027397260274,0.5659090909090909,9.21095890410959,18.66590909090909,134.10958904109586
10/11/2020,6139339.0,116.0,1.889454223003486,4987417.0,82.0,1.6441376367767122,true,14.0903659653955,1.0681818181818181,12.613698630136989,0.6659090909090909,9.273972602739727,18.645454545454545,134.886301369863
10/18/2020,6139339.0,153.0,2.492124966547702,4987417.0,101.0,2.0250963574932674,false,7.03526961579584,1.0681818181818181,12.636986301369861,0.5363636363636364,9.545205479452054,18.69090909090909,133.83013698630137
10/25/2020,6139339.0,192.0,3.127372507040253,4987417.0,136.0,2.7268624219711324,true,16.5025546665778,1.0681818181818181,12.917808219178081,0.6568181818181817,9.86027397260274,18.74772727272727,134.98904109589043
11/1/2020,6139339.0,259.0,4.218695204809508,4987417.0,187.0,3.7494358302103072,false,0.487200006162657,1.0909090909090908,13.10821917808219,0.6204545454545455,10.582191780821915,18.56363636363636,135.49452054794517
11/8/2020,6139339.0,344.0,5.603209075113787,4987417.0,244.0,4.892311992359973,true,27.5303521176844,1.0954545454545455,12.746575342465755,0.7000000000000001,10.41232876712329,18.04318181818182,131.4068493150685
11/15/2020,6139339.0,487.0,7.932450056919809,4987417.0,325.0,6.516399170151603,true,32.3810578777577,1.0477272727272728,12.845205479452055,0.7000000000000001,10.646575342465752,17.425000000000004,126.49178082191777
11/22/2020,6139339.0,542.0,8.828311972999048,4987417.0,362.0,7.258266152599632,true,44.5878685911885,1.0477272727272728,13.07123287671233,0.7545454545454546,10.824657534246576,17.13181818181818,120.76575342465753
11/29/2020,6139339.0,573.0,9.333252325698256,4987417.0,415.0,8.320940478808971,true,52.8143111633353,1.0909090909090908,12.45890410958904,0.6954545454545454,10.568493150684931,17.325,116.23835616438357
12/6/2020,6139339.0,586.0,9.54500150586244,4987417.0,418.0,8.381091855764216,true,43.8089932610555,1.0772727272727272,12.57945205479452,0.7295454545454546,10.317808219178081,16.93409090909091,115.65890410958905
12/13/2020,6139339.0,487.0,7.932450056919809,4987417.0,339.0,6.7971055959427495,true,48.3992946057558,1.0204545454545455,12.557534246575342,0.4977272727272727,10.304109589041095,16.643181818181816,115.24931506849316
12/20/2020,6139339.0,374.0,6.091861029338826,4987417.0,282.0,5.654229433793083,true,36.0868515515378,1.0136363636363637,12.467123287671233,0.6045454545454546,9.772602739726029,16.636363636363637,113.74657534246573
12/27/2020,6139339.0,304.0,4.951673136147067,4987417.0,240.0,4.812110156419646,true,28.1653048525276,1.009090909090909,12.221917808219178,0.5113636363636364,9.372602739726027,16.543181818181818,111.85616438356166
1/3/2021,6139339.0,259.0,4.218695204809508,4987417.0,213.0,4.270747763822436,true,26.2732211783112,1.0250000000000001,11.978082191780823,0.43409090909090914,9.04931506849315,16.68409090909091,112.93698630136988
1/10/2021,6139339.0,227.0,3.6974664536361326,4987417.0,193.0,3.8697385841207983,true,19.5086032447491,1.0227272727272727,11.779452054794518,0.5113636363636364,9.065753424657537,16.561363636363637,113.25205479452057
