date,outcome,case_count,total_pop,Rate
8/17/2020,death,6,5562663,0.11
8/18/2020,death,11,5562663,0.2
8/19/2020,death,3,5562663,0.05
8/20/2020,death,10,5562663,0.18
8/21/2020,death,12,5562663,0.22
8/22/2020,death,9,5562663,0.16
8/23/2020,death,7,5562663,0.13
8/24/2020,death,9,5562663,0.16
8/25/2020,death,4,5562663,0.07
8/26/2020,death,2,5562663,0.04
8/27/2020,death,8,5562663,0.14
8/28/2020,death,6,5562663,0.11
8/29/2020,death,3,5562663,0.05
8/30/2020,death,5,5562663,0.09
8/31/2020,death,9,5562663,0.16
9/1/2020,death,2,5562663,0.04
9/2/2020,death,7,5562663,0.13
9/3/2020,death,12,5562663,0.22
9/4/2020,death,4,5562663,0.07
9/5/2020,death,6,5562663,0.11
9/6/2020,death,12,5562663,0.22
9/7/2020,death,3,5562663,0.05
9/8/2020,death,6,5562663,0.11
9/9/2020,death,10,5562663,0.18
9/10/2020,death,9,5562663,0.16
9/11/2020,death,11,5562663,0.2
9/12/2020,death,8,5562663,0.14
9/13/2020,death,8,5562663,0.14
9/14/2020,death,2,5562663,0.04
9/15/2020,death,7,5562663,0.13
9/16/2020,death,9,5562663,0.16
9/17/2020,death,5,5562663,0.09
9/18/2020,death,6,5562663,0.11
9/19/2020,death,4,5562663,0.07
9/20/2020,death,9,5562663,0.16
9/21/2020,death,8,5562663,0.14
9/22/2020,death,6,5562663,0.11
9/23/2020,death,10,5562663,0.18
9/24/2020,death,8,5562663,0.14
9/25/2020,death,11,5562663,0.2
9/26/2020,death,10,5562663,0.18
9/27/2020,death,13,5562663,0.23
9/28/2020,death,11,5562663,0.2
9/29/2020,death,5,5562663,0.09
9/30/2020,death,16,5562663,0.29
10/1/2020,death,7,5562663,0.13
10/2/2020,death,13,5562663,0.23
10/3/2020,death,9,5562663,0.16
10/4/2020,death,7,5562663,0.13
10/5/2020,death,10,5562663,0.18
10/6/2020,death,13,5562663,0.23
10/7/2020,death,19,5562663,0.34
10/8/2020,death,9,5562663,0.16
10/9/2020,death,17,5562663,0.31
10/10/2020,death,16,5562663,0.29
10/11/2020,death,16,5562663,0.29
10/12/2020,death,20,5562663,0.36
10/13/2020,death,14,5562663,0.25
10/14/2020,death,10,5562663,0.18
10/15/2020,death,9,5562663,0.16
10/16/2020,death,12,5562663,0.22
10/17/2020,death,18,5562663,0.32
10/18/2020,death,25,5562663,0.45
10/19/2020,death,18,5562663,0.32
10/20/2020,death,15,5562663,0.27
10/21/2020,death,24,5562663,0.43
10/22/2020,death,18,5562663,0.32
10/23/2020,death,19,5562663,0.34
10/24/2020,death,8,5562663,0.14
10/25/2020,death,17,5562663,0.31
10/26/2020,death,25,5562663,0.45
10/27/2020,death,23,5562663,0.41
10/28/2020,death,29,5562663,0.52
10/29/2020,death,18,5562663,0.32
10/30/2020,death,28,5562663,0.5
10/31/2020,death,24,5562663,0.43
11/1/2020,death,21,5562663,0.38
11/2/2020,death,25,5562663,0.45
11/3/2020,death,25,5562663,0.45
11/4/2020,death,34,5562663,0.61
11/5/2020,death,36,5562663,0.65
11/6/2020,death,40,5562663,0.72
11/7/2020,death,42,5562663,0.76
11/8/2020,death,46,5562663,0.83
11/9/2020,death,37,5562663,0.67
11/10/2020,death,35,5562663,0.63
11/11/2020,death,43,5562663,0.77
11/12/2020,death,44,5562663,0.79
11/13/2020,death,40,5562663,0.72
11/14/2020,death,49,5562663,0.88
11/15/2020,death,46,5562663,0.83
11/16/2020,death,62,5562663,1.11
11/17/2020,death,55,5562663,0.99
11/18/2020,death,62,5562663,1.11
11/19/2020,death,61,5562663,1.1
11/20/2020,death,62,5562663,1.11
11/21/2020,death,58,5562663,1.04
11/22/2020,death,67,5562663,1.2
11/23/2020,death,59,5562663,1.06
11/24/2020,death,69,5562663,1.24
11/25/2020,death,72,5562663,1.29
11/26/2020,death,54,5562663,0.97
11/27/2020,death,69,5562663,1.24
11/28/2020,death,62,5562663,1.11
11/29/2020,death,68,5562663,1.22
11/30/2020,death,62,5562663,1.11
12/1/2020,death,64,5562663,1.15
12/2/2020,death,73,5562663,1.31
12/3/2020,death,88,5562663,1.58
12/4/2020,death,65,5562663,1.17
12/5/2020,death,74,5562663,1.33
12/6/2020,death,80,5562663,1.44
12/7/2020,death,75,5562663,1.35
12/8/2020,death,61,5562663,1.1
12/9/2020,death,71,5562663,1.28
12/10/2020,death,72,5562663,1.29
12/11/2020,death,71,5562663,1.28
12/12/2020,death,72,5562663,1.29
12/13/2020,death,56,5562663,1.01
12/14/2020,death,43,5562663,0.77
12/15/2020,death,65,5562663,1.17
12/16/2020,death,74,5562663,1.33
12/17/2020,death,60,5562663,1.08
12/18/2020,death,59,5562663,1.06
12/19/2020,death,56,5562663,1.01
12/20/2020,death,62,5562663,1.11
12/21/2020,death,57,5562663,1.02
12/22/2020,death,33,5562663,0.59
12/23/2020,death,46,5562663,0.83
12/24/2020,death,51,5562663,0.92
12/25/2020,death,37,5562663,0.67
12/26/2020,death,42,5562663,0.76
12/27/2020,death,41,5562663,0.74
12/28/2020,death,34,5562663,0.61
12/29/2020,death,37,5562663,0.67
12/30/2020,death,47,5562663,0.84
12/31/2020,death,36,5562663,0.65
1/1/2021,death,28,5562663,0.5
1/2/2021,death,49,5562663,0.88
1/3/2021,death,37,5562663,0.67
1/4/2021,death,32,5562663,0.58
1/5/2021,death,40,5562663,0.72
1/6/2021,death,32,5562663,0.58
1/7/2021,death,37,5562663,0.67
1/8/2021,death,32,5562663,0.58
1/9/2021,death,26,5562663,0.47
1/10/2021,death,30,5562663,0.54
1/11/2021,death,27,5562663,0.49
1/12/2021,death,32,5562663,0.58
1/13/2021,death,23,5562663,0.41
1/14/2021,death,42,5562663,0.76
1/15/2021,death,27,5562663,0.49
1/16/2021,death,29,5562663,0.52
1/17/2021,death,21,5562663,0.38
1/18/2021,death,19,5562663,0.34
1/19/2021,death,14,5562663,0.25
1/20/2021,death,26,5562663,0.47
1/21/2021,death,16,5562663,0.29
1/22/2021,death,13,5562663,0.23
1/23/2021,death,17,5562663,0.31
1/24/2021,death,24,5562663,0.43
1/25/2021,death,20,5562663,0.36
1/26/2021,death,21,5562663,0.38
1/27/2021,death,11,5562663,0.2
1/28/2021,death,12,5562663,0.22
1/29/2021,death,14,5562663,0.25
1/30/2021,death,13,5562663,0.23
1/31/2021,death,16,5562663,0.29
2/1/2021,death,17,5562663,0.31
2/2/2021,death,10,5562663,0.18
2/3/2021,death,11,5562663,0.2
2/4/2021,death,11,5562663,0.2
2/5/2021,death,13,5562663,0.23
2/6/2021,death,11,5562663,0.2
2/7/2021,death,19,5562663,0.34
2/8/2021,death,11,5562663,0.2
2/9/2021,death,14,5562663,0.25
2/10/2021,death,15,5562663,0.27
2/11/2021,death,7,5562663,0.13
2/12/2021,death,13,5562663,0.23
2/13/2021,death,8,5562663,0.14
2/14/2021,death,10,5562663,0.18
2/15/2021,death,9,5562663,0.16
2/16/2021,death,12,5562663,0.22
2/17/2021,death,10,5562663,0.18
2/18/2021,death,7,5562663,0.13
2/19/2021,death,6,5562663,0.11
2/20/2021,death,7,5562663,0.13
2/21/2021,death,4,5562663,0.07
2/22/2021,death,5,5562663,0.09
2/23/2021,death,9,5562663,0.16
2/24/2021,death,5,5562663,0.09
2/25/2021,death,5,5562663,0.09
2/26/2021,death,7,5562663,0.13
2/27/2021,death,6,5562663,0.11
2/28/2021,death,8,5562663,0.14
3/1/2021,death,7,5562663,0.13
3/2/2021,death,3,5562663,0.05
3/3/2021,death,10,5562663,0.18
3/4/2021,death,6,5562663,0.11
3/5/2021,death,11,5562663,0.2
3/6/2021,death,4,5562663,0.07
3/7/2021,death,9,5562663,0.16
3/8/2021,death,5,5562663,0.09
3/9/2021,death,7,5562663,0.13
3/10/2021,death,5,5562663,0.09
3/11/2021,death,4,5562663,0.07
3/12/2021,death,11,5562663,0.2
3/13/2021,death,5,5562663,0.09
3/14/2021,death,5,5562663,0.09
3/15/2021,death,2,5562663,0.04
3/16/2021,death,6,5562663,0.11
3/17/2021,death,4,5562663,0.07
3/18/2021,death,5,5562663,0.09
3/19/2021,death,5,5562663,0.09
3/20/2021,death,9,5562663,0.16
3/21/2021,death,5,5562663,0.09
3/22/2021,death,4,5562663,0.07
3/23/2021,death,5,5562663,0.09
3/24/2021,death,1,5562663,0.02
3/25/2021,death,5,5562663,0.09
3/26/2021,death,3,5562663,0.05
3/27/2021,death,7,5562663,0.13
3/28/2021,death,6,5562663,0.11
3/29/2021,death,5,5562663,0.09
3/30/2021,death,6,5562663,0.11
3/31/2021,death,8,5562663,0.14
4/1/2021,death,6,5562663,0.11
4/2/2021,death,9,5562663,0.16
4/3/2021,death,8,5562663,0.14
4/4/2021,death,6,5562663,0.11
4/5/2021,death,8,5562663,0.14
4/6/2021,death,7,5562663,0.13
4/7/2021,death,6,5562663,0.11
4/8/2021,death,10,5562663,0.18
4/9/2021,death,7,5562663,0.13
4/10/2021,death,7,5562663,0.13
4/11/2021,death,8,5562663,0.14
4/12/2021,death,10,5562663,0.18
4/13/2021,death,7,5562663,0.13
4/14/2021,death,8,5562663,0.14
4/15/2021,death,14,5562663,0.25
4/16/2021,death,8,5562663,0.14
4/17/2021,death,8,5562663,0.14
4/18/2021,death,9,5562663,0.16
4/19/2021,death,9,5562663,0.16
4/20/2021,death,5,5562663,0.09
4/21/2021,death,8,5562663,0.14
